id,text1,text2,score
sample_000010,he later learned that the incident was caused by the concorde 's sonic boom .,he later found out the alarming incident had been caused by concorde 's powerful sonic boom .,5.0
sample_000024,"aaa spokesman jerry cheske said prices may have affected some plans , but cheap hotel deals mitigated the effect .","aaa spokesman jerry cheske said prices might have affected some plans , but cheap hotel deals made up for it .",5.0
sample_000082,"after protesters rushed the stage and twice cut power to the microphone , hedges drew the speech to an early close .","after protesters rushed the stage and twice cut power to the microphone , hedges cut his speech short .",5.0
sample_000085,"doctors say one or both boys may die , and that some brain damage is possible if they survive .","doctors said that one or both of the boys may die and that if they survive , some brain damage is possible .",5.0
sample_000102,the company claims it 's the largest single apple var xserve sale to date .,the company claimed it is the largest sale of xserves by an apple retailer .,5.0
sample_000107,"the value will total about $ 124 million , including convertible securities , according to corel .","including convertible securities , the total estimated value of the deal is $ 124 million , according to corel .",5.0
sample_000139,"but software license revenues , a measure financial analysts watch closely , decreased 21 percent to $ 107.6 million .","license sales , a key measure of demand , fell 21 percent to $ 107.6 million .",5.0
sample_000210,sendmail said the system can even be set up to permit business-only usage .,"the product can be instructed to permit business-only use , according to sendmail .",5.0
sample_000264,"the operating revenues were $ 1.45 billion , an increase over last year 's result of $ 1.38 billion .",operating revenues rose to $ 1.45 billion from $ 1.38 billion last year .,5.0
sample_000274,"ruffner , 45 , doesn 't yet have an attorney in the murder charge , authorities said .","ruffner , 45 , does not have a lawyer on the murder charge , authorities said .",5.0
sample_000278,the report shows that drugs sold in canadian pharmacies are manufactured in facilities approved by health canada - the fda 's counterpart in canada .,"the report shows that drugs sold in canadian pharmacies are manufactured in facilities approved by health canada , which serves a similar role as the fda for the canadian government .",5.0
sample_000289,who will succeed mr. o 'neill at hyundai is not clear .,there is no clear successor for mr. o 'neill at hyundai .,5.0
sample_000337,""" the gloves are off , "" said unifi official rob o 'neill .","unifi official rob o 'neill said : "" the gloves are off .",5.0
sample_000461,"the island nation reported 65 new cases on may 22 , a one day record , and 55 new cases on may 23 , making taiwan 's epidemic the fastest-growing in the world .","taiwan reported 65 new cases on may 22 , a one-day record , and 55 new cases on may 23 , making its epidemic the world 's fastest-growing .",5.0
sample_000476,south africa has the world 's highest caseload with 4.7 million people infected with hiv or aids .,"with 4.7 million people infected with hiv or aids , south africa has the world 's highest aids caseload .",5.0
sample_000505,bioreliance 's stock closed down 2 cents yesterday at $ 47.98 per share .,"shares of bioreliance sold at $ 47.98 at the close of market yesterday , down 2 cents .",5.0
sample_000541,"druce will face murder charges , conte said .",conte said druce will be charged with murder .,5.0
sample_000543,"eu ministers were invited to the conference but canceled because the union is closing talks on agricultural reform , said gerry kiely , a eu agriculture representative in washington .","gerry kiely , a eu agriculture representative in washington , said eu ministers were invited but canceled because the union is closing talks on agricultural reform .",5.0
sample_000559,"no americans were reported among the casualties , according to capt. michael calvert , a spokesman for the regiment .","none of the casualties was americans , said capt. michael calvert , regiment spokesman .",5.0
sample_000594,"and now it 's anything he wants to say , "" alesha badgley , stone county nursing and rehabilitation center social director , said this week .","and now it 's anything he wants to say , "" confirmed stone county nursing and rehabilitation center social director alesha badgley .",5.0
sample_000595,"the national denomination of the episcopal church , with 2.3 million members , is the u.s. branch of the 77 million-member anglican communion .","the episcopal church , with 2.3 million members , is the american branch of the worldwide anglican communion , which has 77 million adherents .",5.0
sample_000629,"police spokesman brig. gen. edward aritonang confirmed saturday that another two had been arrested , one in jakarta and another in magelang , central java .","brigadier general edward aritonang , a police spokesman , confirmed yesterday that another two had been arrested , one in jakarta and another in magelang , central java .",5.0
sample_000728,"when you crossed the line , you violated the constitutional right , "" said charles weisselberg , a uc berkeley law professor .","when you crossed the line , you violated the constitutional right , "" said charles weisselberg , who teaches law at the university of california , berkeley .",5.0
sample_000751,a man with a hard hat is dancing .,a man wearing a hard hat is dancing .,5.0
sample_000752,a plane is taking off .,an air plane is taking off .,5.0
sample_000754,a man is feeding a mouse to a snake .,the man is feeding a mouse to the snake .,5.0
sample_000766,a man is erasing a chalk board .,the man is erasing the chalk board .,5.0
sample_000767,a person is throwing a cat on to the ceiling .,a person throws a cat on the ceiling .,5.0
sample_000776,the polar bear is sliding on the snow .,a polar bear is sliding across the snow .,5.0
sample_000780,the man is riding a horse .,a man is riding on a horse .,5.0
sample_000786,a woman peels a potato .,a woman is peeling a potato .,5.0
sample_000787,a woman peels a potato .,a woman is peeling a potato .,5.0
sample_000791,the woman is playing the flute .,a woman is playing a flute .,5.0
sample_000792,the cougar is chasing the bear .,a cougar is chasing a bear .,5.0
sample_000794,the man cut down a tree with an axe .,a man chops down a tree with an axe .,5.0
sample_000796,one woman is measuring another woman 's ankle .,a woman measures another woman 's ankle .,5.0
sample_000806,a dog rides a skateboard .,a dog is riding a skateboard .,5.0
sample_000809,a woman peels shrimp .,a woman is peeling shrimp .,5.0
sample_000816,a person cuts an onion .,a person is cutting an onion .,5.0
sample_000818,a man is climbing a rope .,a man climbs a rope .,5.0
sample_000835,a man is playing the drums .,a man plays the drum .,5.0
sample_000836,a woman rides a horse .,a woman is riding a horse .,5.0
sample_000851,a man is cutting an onion .,a man cuts an onion .,5.0
sample_000852,a man and a woman are kissing .,a man and woman kiss .,5.0
sample_000867,a man is tying his shoe .,a man ties his shoe .,5.0
sample_000918,a woman is using a sewing machine .,a woman is sewing on a machine .,5.0
sample_000940,a band is performing on a stage .,a band is playing onstage .,5.0
sample_000943,a man is climbing a rope .,a man climbs up a rope .,5.0
sample_000957,a man is playing a guitar .,a man plays the guitar .,5.0
sample_000968,a man plays the flute .,a man is playing a flute .,5.0
sample_000969,a man plays the violin .,a man is playing violin .,5.0
